#  1
FD49  2.61805034  1.00000000  P
FD50  10.7675381  1.00000000  P
FD51  3.03648257  1.00000000  P
FD52  8.12710857  1.00000000  P
FD53  11.1730452  1.00000000  P
#  4
FD01  11.5110798  1.00000000  P
FD02  10.4036388  1.00000000  P
FD03  5.21219492  1.00000000  P
FD04  6.53644562  1.00000000  P
FD05  3.35555816  1.00000000  P
FD06  12.2041311  1.00000000  P
FD07  8.88082314  1.00000000  P
FD08  6.53570890  1.00000000  P
FD09  6.85661221  1.00000000  P
FD10  3.89744806  1.00000000  P
FD11  13.9811049  1.00000000  P
FD12  12.3937988  1.00000000  P
FD13  10.8750591  1.00000000  P
FD14  4.14208984  1.00000000  P
FD15  8.50241184  1.00000000  P
FD16  8.94122982  1.00000000  P
FD17  9.31558037  1.00000000  P
FD18  2.58605886  1.00000000  P
FD19  6.14324903  1.00000000  P
FD20  8.73963070  1.00000000  P
FD21  4.98702955  1.00000000  P
FD22  4.13770008  1.00000000  P
FD23  6.69040918  1.00000000  P
FD24  2.54392314  1.00000000  P
FD25  5.90152597  1.00000000  P
FD26  6.32305145  1.00000000  P
FD27  7.50980806  1.00000000  P
FD28  2.74301863  1.00000000  P
FD29  5.96359348  1.00000000  P
FD30  4.64968109  1.00000000  P
FD31  7.50576830  1.00000000  P
FD32  4.95156336  1.00000000  P
FD33  0.956232250  1.00000000  P
FD34  5.92246580  1.00000000  P
FD35  3.21057248  1.00000000  P
FD36  3.95117021  1.00000000  P
FD37  3.65422058  1.00000000  P
FD38  1.24462306  1.00000000  P
FD39  6.13079548  1.00000000  P
FD40  4.60488224  1.00000000  P
FD41  9.82385254  1.00000000  P
FD42  5.02809429  1.00000000  P
FD43  2.25455308  1.00000000  P
FD44  10.5144291  1.00000000  P
FD45  2.50571036  1.00000000  P
FD46  7.45859909  1.00000000  P
FD47  8.29794216  1.00000000  P
FD48  8.74945641  1.00000000  P
FD49  9.59887314  1.00000000  P
FD50  4.42006493  1.00000000  P
FD51  6.50528002  1.00000000  P
FD52  4.74960852  1.00000000  P
FD53  7.86389256  1.00000000  P
#  5
FD01  12.6064072  1.00000000  P
FD02  11.2207155  1.00000000  P
FD03  3.96201491  1.00000000  P
FD04  5.80339766  1.00000000  P
FD05  2.02943468  1.00000000  P
FD06  11.7496138  1.00000000  P
FD07  6.69857359  1.00000000  P
FD08  4.43724728  1.00000000  P
FD09  5.26419973  1.00000000  P
FD10  5.58082771  1.00000000  P
FD11  15.4889088  1.00000000  P
FD12  13.8639145  1.00000000  P
FD13  11.1347933  1.00000000  P
FD14  5.01355791  1.00000000  P
FD15  7.49850464  1.00000000  P
FD16  10.7127018  1.00000000  P
FD17  10.7442636  1.00000000  P
FD18  3.99471354  1.00000000  P
FD19  7.29887533  1.00000000  P
FD20  8.90839481  1.00000000  P
FD21  3.56604171  1.00000000  P
FD22  5.52520752  1.00000000  P
FD23  8.25315666  1.00000000  P
FD24  4.47627592  1.00000000  P
FD25  6.60433960  1.00000000  P
FD26  8.11731052  1.00000000  P
FD27  9.17885399  1.00000000  P
FD28  1.93920469  1.00000000  P
FD29  4.01005411  1.00000000  P
FD30  5.01527262  1.00000000  P
FD31  9.41951180  1.00000000  P
FD32  6.63274336  1.00000000  P
FD33  2.56531668  1.00000000  P
FD34  7.86320019  1.00000000  P
FD35  5.35616350  1.00000000  P
FD36  5.98818064  1.00000000  P
FD37  3.34638548  1.00000000  P
FD38  3.65654182  1.00000000  P
FD39  5.31916332  1.00000000  P
FD40  2.89398551  1.00000000  P
FD41  11.4257746  1.00000000  P
FD42  4.99185085  1.00000000  P
FD43  2.60549545  1.00000000  P
FD44  11.1752348  1.00000000  P
FD45  3.75473762  1.00000000  P
FD46  6.90136099  1.00000000  P
FD47  8.86642742  1.00000000  P
FD48  9.64159870  1.00000000  P
FD49  9.19394588  1.00000000  P
FD50  4.04652548  1.00000000  P
FD51  6.60901785  1.00000000  P
FD52  2.77464247  1.00000000  P
FD53  9.71566963  1.00000000  P
#  6
FD01  8.61535549  1.00000000  P
FD02  7.71859503  1.00000000  P
FD03  5.81309271  1.00000000  P
FD04  8.96301079  1.00000000  P
FD05  5.91208553  1.00000000  P
FD06  10.7706270  1.00000000  P
FD07  11.1890268  1.00000000  P
FD08  8.54088688  1.00000000  P
FD09  7.37176037  1.00000000  P
FD10  5.39200878  1.00000000  P
FD11  11.1516428  1.00000000  P
FD12  9.52864170  1.00000000  P
FD13  8.70977402  1.00000000  P
FD14  2.07242823  1.00000000  P
FD15  7.83794928  1.00000000  P
FD16  6.42631817  1.00000000  P
FD17  6.42081261  1.00000000  P
FD18  5.00761700  1.00000000  P
FD19  3.34757638  1.00000000  P
FD20  6.77024746  1.00000000  P
FD21  7.63401794  1.00000000  P
